,Name,Representation,Representative_Docs,Better_Names
16,15_album_singer_pop_songs,"['album', 'singer', 'pop', 'songs', 'music', 'rapper', 'band', 'albums', 'song', 'hear']","['The rapper’s album “Hoodie SZN” has now spent three weeks atop the Billboard chart, and broke its own record for lowest sales by a No. 1 album.', 'The rapper’s album “Hoodie SZN” has now spent three weeks atop the Billboard chart, and broke its own record for lowest sales by a No. 1 album.', 'The 20-year-old singer’s second album debuted at the top of the chart thanks to stronger sales numbers as a full album.']",Pop Music Album Chart Performance
17,16_tax_budget_taxes_senate,"['tax', 'budget', 'taxes', 'senate', 'deficit', 'spending', 'bill', 'trillion', 'republicans', 'congress']","['A tax break for 160 million wage earners, pushed last winter by the White House, now finds little support in Washington, as Congress struggles with deficits and turns its attention to the Bush-era income tax cuts.', 'Republican leaders passed the tax bill out of the Senate Budget Committee, clearing the way for it to come to the Senate floor later this week.', 'Of tax cuts, tax holidays and trickle-down.']",U.S. Senate Tax Legislation and Budget Deficit
18,17_knicks_nets_nba_points,"['knicks', 'nets', 'nba', 'points', 'lakers', 'carmelo', 'game', 'lebron', 'finals', 'warriors']","['Carmelo Anthony’s game-winning shot moved the Knicks five games over .500 after they had lost a 17-point lead.', 'Carmelo Anthony scored 31 points as the Knicks bounced back from a rare loss with a victory at Cleveland, moving the Knicks closer to the coveted second seed in the Eastern Conference.', 'Carmelo Anthony scored 31 points as the Knicks bounced back from a rare loss with a victory at Cleveland, moving the Knicks closer to the coveted second seed in the Eastern Conference.']",Carmelo Anthony's Impact on Knicks' NBA Season Performance
19,18_russian_ukraine_russia_putin,"['russian', 'ukraine', 'russia', 'putin', 'vladimir', 'russias', 'moscow', 'ukrainian', 'president', 'crimea']","['The conflict in Ukraine will be a major topic during a high-stakes video call between President Biden and Vladimir V. Putin of Russia on Tuesday.', 'President Vladimir V. Putin’s decision to send Russian troops to encircle the Ukrainian border was inspired by a fear: that Ukraine is allying too closely with the West, buying American arms and taking advice from U.S. military officials. But why is that military assistance so important to Ukraine — and so threatening to Russia?', 'President Vladimir V. Putin’s decision to send Russian troops to encircle the Ukrainian border was inspired by a fear: that Ukraine is allying too closely with the West, buying American arms and taking advice from U.S. military officials. But why is that military assistance so important to Ukraine — and so threatening to Russia?']",Russia-Ukraine Conflict and Vladimir Putin's Role
20,19_police_shot_officer_man,"['police', 'shot', 'officer', 'man', 'officers', 'shooting', 'killed', 'gunman', 'was', 'said']","['The shootings began Friday night with an ambush on a city police sergeant in her squad car. The gunman was fatally shot by the police.', 'A dispute in the Bronx led to a man shooting another person, critically wounding him. The police then shot the gunman.', 'A dispute in the Bronx led to a man shooting another person, critically wounding him. The police then shot the gunman.']",Police Shootings and Officer-Involved Incidents
21,20_church_catholic_pope_francis,"['church', 'catholic', 'pope', 'francis', 'roman', 'vatican', 'religious', 'faith', 'abuse', 'cardinal']","['For visitors, and even Pope Francis, what to do and where to go to really get to know Catholic New York during the papal visit.', 'For visitors, and even Pope Francis, what to do and where to go to really get to know Catholic New York during the papal visit.', 'Pope Francis has charged a new Council of Cardinals to find ways of renewing the Catholic Church.']",Pope Francis and the Catholic Church
22,21_vaccine_vaccinated_vaccines_vaccination,"['vaccine', 'vaccinated', 'vaccines', 'vaccination', 'covid19', 'vaccinations', 'shots', 'doses', 'booster', 'coronavirus']","['Despite so-so vaccine news for children 5 to 11.', 'The authorization of a third Covid-19 vaccine will bring millions more doses within days. But health officials worry that some people will see the vaccine as the inferior choice.', 'The vaccine is the eighth coronavirus vaccine to receive the global health body’s green light.']",COVID-19 Vaccination Development and Deployment
23,22_olympics_olympic_medal_gold,"['olympics', 'olympic', 'medal', 'gold', 'tokyo', 'athletes', 'womens', 'games', 'medals', 'doping']","['Team U.S.A. is set to select its three-on-three team for the Tokyo Olympics. Will the rest of the world have a fighting chance in this version of the sport?', 'Team U.S.A. is set to select its three-on-three team for the Tokyo Olympics. Will the rest of the world have a fighting chance in this version of the sport?', 'The first American to win a world championship in men’s gymnastics, he captured many medals but missed out on his best chance to take Olympic gold.']",Tokyo 2020 Summer Olympics Achievements and Controversies
24,23_orchestra_hall_music_carnegie,"['orchestra', 'hall', 'music', 'carnegie', 'philharmonic', 'symphony', 'concert', 'pianist', 'works', 'conductor']","['The Tallinn Chamber Orchestra and Estonian Philharmonic Chamber Court presented an all-Arvo Pärt concert on Saturday with the composer on hand at Carnegie Hall.', 'Carnegie Hall and the Boston Symphony Orchestra have found a new conductor for Thursday night’s season-opening gala.', 'Carnegie Hall and the Boston Symphony Orchestra have found a new conductor for Thursday night’s season-opening gala.']",Carnegie Hall Orchestral Performances
25,24_season_episode_series_drama,"['season', 'episode', 'series', 'drama', 'netflix', 'show', 'ratings', 'episodes', 'finale', 'hbo']","['The second episode of the online drama will debut on Saturday and cost $2.', 'Season 11 of “Curb Your Enthusiasm” begins on HBO. And a new musical drama series debuts on ABC.', 'Season 11 of “Curb Your Enthusiasm” begins on HBO. And a new musical drama series debuts on ABC.']",Television Drama Series
26,25_facebook_social_web_twitter,"['facebook', 'social', 'web', 'twitter', 'media', 'scour', 'peculiar', 'reporters', 'facebooks', 'users']","['The technology reporters and editors of The New York Times scour the Web for important and peculiar news. Friday’s selections include items on a need for new economic theories in a world where information travels so quickly and a suggestion that Washington and Beijing agree on some rules of the road for the Internet.', 'Facebook announced that it was the first social network to reach one billion active users on the site. Although a few companies can claim to have had more than a billion customers, Facebook is the first social network to hit that number.', 'The technology reporters and editors of The New York Times scour the Web for important and peculiar items. Wednesday’s selection includes skepticism that employers are asking job seekers for their Facebook passwords, reports of privacy abuses by some online dating sites and a prediction of strong demand for chip-making equipment.']",Social Media Trends and Privacy Concerns
27,26_quotation_day_2017_2019,"['quotation', 'day', '2017', '2019', '2016', '2018', 'sunday', 'december', 'october', 'saturday']","['Quotation of the Day for Monday, May 1, 2017.', 'Quotation of the Day for Monday, May 1, 2017.', 'Quotation of the day for Sunday, May 1, 2016.']",Daily Quotations from 2016 to 2019
28,27_news_journalists_times_fox,"['news', 'journalists', 'times', 'fox', 'media', 'reporters', 'network', 'anchor', 'journalism', 'cable']","['After an extraordinary election cycle, cable news networks expected to see a drop in viewership. Instead, ratings for Fox News and MSNBC are up.', 'The New York Times’ Media news can now be found at the Media & Advertising section front.', 'The New York Times’ Media news can now be found at the Media & Advertising section front.']",Cable News Networks and Media Journalism
29,28_ncaa_tournament_basketball_state,"['ncaa', 'tournament', 'basketball', 'state', 'michigan', 'college', 'football', 'title', 'ohio', 'no']","['Kentucky, Syracuse, North Carolina and Michigan State each received a No. 1 seed in the N.C.A.A. men’s basketball tournament, but a surprising number of low-wattage teams also made the cut.', 'College football games on Saturday include Notre Dame at Michigan, Alabama at Penn State, Texas Christian at Air Force and South Carolina at Georgia.', 'College football games on Saturday include Oklahoma at Florida State, Ohio State at Miami and Michigan State at Notre Dame.']",NCAA Men's Basketball Tournament and College Football Games
30,29_subway_bike_transit_riders,"['subway', 'bike', 'transit', 'riders', 'transportation', 'taxi', 'stations', 'lanes', 'city', 'trains']","['Gov. Andrew M. Cuomo announced that 30 more subway stations in Manhattan would have cellphone service, but some riders were displeased about hearing calls on trains.', 'The train, which would connect with the No. 7 subway line and the Long Island Rail Road, would be the first mass transit link to the Queens airport.', 'The train, which would connect with the No. 7 subway line and the Long Island Rail Road, would be the first mass transit link to the Queens airport.']",Urban Multimodal Transportation Systems
31,30_film_director_movie_sequence,"['film', 'director', 'movie', 'sequence', 'movies', 'films', 'actor', 'discusses', 'starring', 'box']","['Film', 'The director discusses an action sequence from the film.', 'The director discusses an action sequence from the film.']",Director's Commentary on Film Sequences
32,31_syria_syrian_islamic_isis,"['syria', 'syrian', 'islamic', 'isis', 'iraqi', 'yemen', 'syrias', 'sunni', 'militants', 'iraq']","['The announcement appeared to further strengthen the role of Islamic militants in the Syrian insurgency.', '“ISIS is not over”: Attacks in Syria and Iraq make clear that the militants have lost neither their will to fight nor their ability to do so.', 'Some of the Islamic State’s leaders have fled as Syrian fighters backed by the United States close in on the group’s self-declared capital, but many militants remain.']",Islamic State's Influence and Operations in Syria and Iraq
33,32_taliban_afghanistan_afghan_pakistan,"['taliban', 'afghanistan', 'afghan', 'pakistan', 'pakistani', 'afghanistans', 'karzai', 'troops', 'hamid', 'afghans']","['Gen. David H. Petraeus, the top American commander in Afghanistan, said efforts had begun to launch talks between the Taliban and President Hamid Karzai.', 'Talks between the Afghan government and the Taliban leaders will not bring “reconciliation,” but could end the war.', 'After more than a year of talks, the U.S. and the Taliban have signed an agreement to end the war in Afghanistan. But will it work?']",Taliban Negotiations and Conflict in Afghanistan
34,33_president_obama_presidents_trump,"['president', 'obama', 'presidents', 'trump', 'his', 'speech', 'he', 'barack', 'presidency', 'obamas']","['One-term presidents generally don’t leave big footprints. And the last four years may be seen as a reaction to the game-changing presidency of Barack Obama.', 'Barack Obama’s new book, “A Promised Land,” arrived nearly four years after he left the White House. A look at how he and other presidents approached their memoirs offers some clues about the timing.', 'Barack Obama’s new book, “A Promised Land,” arrived nearly four years after he left the White House. A look at how he and other presidents approached their memoirs offers some clues about the timing.']",Barack Obama's Presidency and Its Impact on Subsequent Presidents
35,34_ballet_dance_dancers_theater,"['ballet', 'dance', 'dancers', 'theater', 'dancer', 'performances', 'ballets', 'ailey', 'selected', 'american']","['Over the years France has given New York everything from the Statue of Liberty to Daniel Boulud, and now, in its latest act of trans-Atlantic generosity, it plans to lend the city two dancers from the Paris Opera Ballet. The New York City Ballet said Aurélie Dupont and Mathias Heymann will perform at City Ballet’s opening-night benefit on Nov. 24. Ms. Dupont and Mr. Heymann (who are among the dancers featured in the Frederick Wiseman documentary “La Danse: The Paris Opera Ballet”) are to perform the “Rubies” pas de deux from George Balanchine’s “Jewels.” The other half of the bargain (struck by Brigitte Lefèvre, the dance director of the Paris Opera Ballet, and Peter Martins, the ballet master in chief of City Ballet) is that Paris gets to borrow Ashley Bouder and Gonzalo Garcia from City Ballet, who will dance the leading roles in “Rubies” for the Paris Opera Ballet on Thursday at the Palais Garnier. The City Ballet benefit will take place at the David H. Koch Theater at Lincoln Center.', 'The New York Times’s chief dance critic takes us through the ballet “The Sleeping Beauty,” performed by American Ballet Theater this week.', 'The New York Times’s chief dance critic takes us through the ballet “The Sleeping Beauty,” performed by American Ballet Theater this week.']",International Ballet Exchange and Performances
36,35_wine_wines_drink_beer,"['wine', 'wines', 'drink', 'beer', 'cocktail', 'coffee', 'beverage', 'drinks', 'cocktails', 'tequila']","['The wine panel sought and found some distinctive wines, but glossy modern winemaking too often took the spotlight.', 'If you take a single variety and make wine in three distinct regions, how different will the wines be?', 'If you take a single variety and make wine in three distinct regions, how different will the wines be?']",Alcoholic Beverages and Wine Varietals
37,36_golf_woods_tiger_round,"['golf', 'woods', 'tiger', 'round', 'golfers', 'pga', 'golfer', 'open', 'masters', 'mickelson']","['President Obama and Tiger Woods are both living a dream on Sunday: playing golf together for the first time.', 'Golf has welcomed Tiger Woods, but many private golf clubs wouldn’t.', 'Golf has welcomed Tiger Woods, but many private golf clubs wouldn’t.']",Tiger Woods' Golf Career and Influence
38,37_rangers_devils_islanders_stanley,"['rangers', 'devils', 'islanders', 'stanley', 'hockey', 'nhl', 'cup', 'game', 'goals', 'bruins']","['After the sudden death of his mother, Rangers forward Martin St. Louis returned to the Rangers in time for Friday night’s playoff game against Pittsburgh.', 'After the sudden death of his mother, Rangers forward Martin St. Louis returned to the Rangers in time for Friday night’s playoff game against Pittsburgh.', 'The Penguin and the Rangers each have two power-play goals through two games of their Eastern Conference series, but the Rangers have had seven more opportunities.']",New York Rangers and NHL Playoffs
39,38_banks_bank_regulators_financial,"['banks', 'bank', 'regulators', 'financial', 'banking', 'bonuses', 'loans', 'wall', 'lenders', 'street']","['European regulators have ordered banks to raise capital and shrink their balance sheets, leading to the sale of assets to American businesses and financial firms.', 'If financial regulators in the United States and Europe enact conflicting rules for the derivatives industry, banks and other financial firms will be free to skirt the new rules, according to a C.F.T.C. commissioner.', 'If financial regulators in the United States and Europe enact conflicting rules for the derivatives industry, banks and other financial firms will be free to skirt the new rules, according to a C.F.T.C. commissioner.']",Banking Regulation and Financial Oversight
40,39_gun_shootings_shooting_violence,"['gun', 'shootings', 'shooting', 'violence', 'guns', 'newtown', 'laws', 'mass', 'control', 'firearms']","['Everytown for Gun Safety, the gun control organization backed by former Mayor Michael R. Bloomberg of New York, called on the Biden administration on Thursday to swiftly enact executive orders that would regulate the tracking of homemade firearms, require background checks for virtually all gun sales and mandate dealers notify the F.B.I. when they complete gun sales before completing a background check.', 'Once more, after a mass shooting, a chorus of calls for gun control. But one reader says, “I fear that the gun laws will not change in my lifetime.”', 'Once more, after a mass shooting, a chorus of calls for gun control. But one reader says, “I fear that the gun laws will not change in my lifetime.”']",Gun Control and Mass Shootings
41,40_north_korea_koreas_kim,"['north', 'korea', 'koreas', 'kim', 'korean', 'south', 'nuclear', 'jongun', 'missile', 'leader']","['On North Korea, there is no good solution.', 'The son of a former South Korean foreign minister who fled to North Korea in the 1980s also defected last week, the North said.', 'The son of a former South Korean foreign minister who fled to North Korea in the 1980s also defected last week, the North said.']",North Korea: Kim Jong-un's Leadership and Nuclear Program
42,41_diary_metropolitan_tales_reader,"['diary', 'metropolitan', 'tales', 'reader', 'city', 'york', 'weeks', 'subway', 'bus', 'new']","['New neighbors, a memorable party and more reader tales of New York City in this week’s Metropolitan Diary.', 'Monday morning on the B, moving to Manhattan and more reader tales of New York City in this week’s Metropolitan Diary.', 'Monday morning on the B, moving to Manhattan and more reader tales of New York City in this week’s Metropolitan Diary.']",New York City Metropolitan Diary Stories
43,42_unemployment_wage_workers_jobs,"['unemployment', 'wage', 'workers', 'jobs', 'rate', 'minimum', 'employment', 'wages', 'percent', 'jobless']","['Though it is still higher than the national rate, unemployment in the city fell to 8.3 percent from 8.4 percent in April and is at its lowest level in more than four years.', 'The city’s unemployment rate, now 10.3 percent — up from 9.5 percent in July — is higher than the national rate of 9.7 percent and much higher than the 8 percent reported for the rest of the state.', 'The city’s unemployment rate, now 10.3 percent — up from 9.5 percent in July — is higher than the national rate of 9.7 percent and much higher than the 8 percent reported for the rest of the state.']",Labor Market Trends and Unemployment Rates
44,43_impeachment_attorney_trump_inquiry,"['impeachment', 'attorney', 'trump', 'inquiry', 'house', 'president', 'investigation', 'counsel', 'testimony', 'testify']","['The impeachment inquiry entered a public phase. President Trump and his allies continued to attack witnesses in the inquiry. And more.', 'The Senate must hear his testimony in an impeachment trial.', 'The Senate must hear his testimony in an impeachment trial.']",Trump Impeachment Inquiry and Trial
45,44_protesters_protest_protests_demonstrators,"['protesters', 'protest', 'protests', 'demonstrators', 'occupy', 'streets', 'demonstrations', 'marched', 'police', 'thousands']","['New York police commanders have been observed grabbing protesters or initiating arrests at Wall Street protests.', 'Efforts to clear demonstrators from Taksim Square began a day after the prime minister agreed to meet with representatives of the protesters.', 'The police arrested at least 17 Occupy Wall Street protesters on Monday at the World Financial Center in Lower Manhattan.']",Civil Unrest and Public Demonstrations
46,45_start_heres_know_need,"['start', 'heres', 'know', 'need', 'your', 'day', 'you', 'what', 'to', 'rethinks']","['Here’s what you need to know to start your day.', 'Here’s what you need to know to start your day.', 'Here’s what you need to know to start your day.']",Daily Morning Briefing Essentials
47,46_airlines_airline_flights_airports,"['airlines', 'airline', 'flights', 'airports', 'planes', 'flight', 'airport', 'travelers', 'passengers', 'travel']","['The airline industry has sophisticated tools to follow planes and stream data from their flight recorders. But given cost and the general safety of air travel, neither the airlines nor regulators have used them.', 'The airline industry has sophisticated tools to follow planes and stream data from their flight recorders. But given cost and the general safety of air travel, neither the airlines nor regulators have used them.', 'Travelers flying Southwest Airlines over the weekend faced hundreds of canceled flights as well as frustrating delays, with the airline scrapping about a quarter of all its flights on Saturday and Sunday.']",Airline Industry Operations and Passenger Travel
48,47_sexual_harassment_assault_women,"['sexual', 'harassment', 'assault', 'women', 'rape', 'accused', 'sexually', 'abuse', 'woman', 'sex']","['The decision to drop the charges came as the Pentagon released its annual report on sexual assault and sexual harassment at the three service academies.', 'The comedian, who has for decades been pursued by allegations of sexual misconduct, was charged with sexual assault in Pennsylvania in a case that many people, including women who had come forward, thought prosecutors would never bring.', 'The comedian, who has for decades been pursued by allegations of sexual misconduct, was charged with sexual assault in Pennsylvania in a case that many people, including women who had come forward, thought prosecutors would never bring.']",Sexual Harassment and Assault Against Women
49,48_readers_respond_column_responds,"['readers', 'respond', 'column', 'responds', 'oped', 'editorial', 'reader', 'article', 'recent', 'brooks']","['Readers respond to a recent column.', 'Readers respond to a recent column.', 'Readers respond to a recent column.']",Reader Response Column
50,49_iran_nuclear_irans_sanctions,"['iran', 'nuclear', 'irans', 'sanctions', 'iranian', 'tehran', 'deal', 'united', 'administration', 'states']","['Readers react to the Iran deal.', 'The families of three Americans of Iranian descent who are incarcerated in Iran have been hoping that a nuclear accord will prompt Iran to release them.', 'President Trump’s decision to pull out of the Iran nuclear deal is premised on the idea that the U.S. and its allies force a better deal with Iran through isolation and sanctions.']",Iran Nuclear Deal and Sanctions
51,50_broadway_musical_theater_previews,"['broadway', 'musical', 'theater', 'previews', 'open', 'shows', 'producers', 'productions', 'play', 'revival']","['For anyone concerned that the coming Broadway revival of “Finian’s Rainbow” would be lacking in performers who share their names with cities in Wyoming, your fears have been allayed. Publicists for the show said on Wednesday that Cheyenne Jackson, right, whose Broadway credits include “Xanadu” and “All Shook Up,” would reprise the role of Woody, which he performed in the City Center Encores! production of the show earlier this year. The Broadway run of “Finian’s Rainbow” is to begin previews at the St. James Theater on Oct. 8, with an official opening set for Oct. 29.', 'The musical “Fun Home,” which had an acclaimed run last fall at the Public Theater, will move to Broadway this spring.', 'The musical “Fun Home,” which had an acclaimed run last fall at the Public Theater, will move to Broadway this spring.']",Upcoming Broadway Musical Productions and Previews
52,51_killed_afghan_wounded_least,"['killed', 'afghan', 'wounded', 'least', 'died', 'identified', 'defense', 'attack', 'members', 'related']","['The Department of Defense has identified 1,590 American service members who have died as a part of the Afghan war and related operations.', 'The Department of Defense has identified 2,331 American service members who have died as a part of the Afghan war and related operations.', 'The Department of Defense has identified 1,236 American service members who have died as a part of the Afghan war and related operations.']",American Military Fatalities in the Afghan War
53,52_insurance_health_care_coverage,"['insurance', 'health', 'care', 'coverage', 'insurers', 'medicaid', 'affordable', 'premiums', 'consumers', 'act']","['Is requiring every American to have medical insurance the best way to begin health care reform?.', 'As the Affordable Care Act takes hold, some employers will use their health insurance coverage to attract workers, while others will drop the coverage and use higher pay as the lure, an economist writes.', 'As the Affordable Care Act takes hold, some employers will use their health insurance coverage to attract workers, while others will drop the coverage and use higher pay as the lure, an economist writes.']",Health Insurance and Coverage Reform
54,53_risk_study_heart_diabetes,"['risk', 'study', 'heart', 'diabetes', 'disease', 'alzheimers', 'older', 'stroke', 'women', 'vitamin']","['High blood pressure and other known risk factors for stroke also increase the risk of developing cognitive problems, even among people who have never had a stroke, a new study finds.', 'Older men and women who stopped taking the drugs were at increased risk of heart attack and stroke.', 'Older men and women who stopped taking the drugs were at increased risk of heart attack and stroke.']",Cardiovascular and Metabolic Risk Factors in Aging Populations
