,Name,Representation,Representative_Docs,Better_Names
47,46_makeamericagreatagain_trump_america_donald,"['makeamericagreatagain', 'trump', 'america', 'donald', 'know', 'trumpforpresident', 'la', 'needs', 'only', 'makeamericaworkagain']","['makeamericagreatagain trump', 'makeamericagreatagain trump', 'makeamericagreatagain trump']",Donald Trump's Presidential Campaign Slogans
48,47_secretary_pleased_general_acting,"['secretary', 'pleased', 'general', 'acting', 'announce', 'ambassador', 'director', 'attorney', 'outstanding', 'service']","['i am pleased to announce that mick mulvaney director of the office of management amp budget will be named acting white house chief of staff replacing general john kelly who has served our country with distinction mick has done an outstanding job while in the administration', 'we are pleased to announce that matthew g whitaker chief of staff to attorney general jeff sessions at the department of justice will become our new acting attorney general of the united states he will serve our country well', 'i am pleased to inform you that i have just named general secretary john f kelly as white house chief of staff he is a great american']",High-Level Government Appointments and Acting Officials
49,48_israel_peace_jerusalem_jewish,"['israel', 'peace', 'jerusalem', 'jewish', 'tlaib', 'omar', 'anti', 'congresswomen', 'arab', 'bahrain']","['thank you to wayne allyn root for the very nice words president trump is the greatest president for jews and for israel in the history of the world not just america he is the best president for israel in the history of the world and the jewish people in israel love him', 'thank you pm and the state of israel for this great honor', 'big day for israel congratulations']",Israel-United States Relations and Peace Efforts
50,49_debate_debates_drudge_won,"['debate', 'debates', 'drudge', 'won', 'polls', 'poll', 'last', 'night', 'would', 'said']","['thanks everyone they all said i won the debate even won the poll', 'i won every debate so far according to all debate polls including and more too bad dopey lies', 'wow every poll said i won the debate last night great honor']",Political Debate Victory Claims
51,50_charity_sugar_money_million,"['charity', 'sugar', 'money', 'million', 'charities', 'raised', 'research', 'jude', 'goal', 'dopey']","['i can t wait to donate million to charity just waiting on to send me the money', 'dopey is in for a lot of trouble i hope he has million for charity', 'we have raised millions of dollars for charity']",Million Dollar Charity Fundraising
52,51_collusion_russia_hunt_witch,"['collusion', 'russia', 'hunt', 'witch', 'russian', 'hoax', 'no', 'there', 'campaign', 'intelligence']","['the senate intelligence committee there is no evidence of collusion between the trump campaign and russia', 'no collusion rigged witch hunt', 'witch hunt there was no russian collusion oh i see there was no russian collusion so now they look for obstruction on the no russian collusion the phony russian collusion was a made up hoax too bad they didn t look at crooked hillary like this double standard']",Trump-Russia Collusion Allegations and Investigations
53,52_schiff_whistleblower_adam_shifty,"['schiff', 'whistleblower', 'adam', 'shifty', 'call', 'conversation', 'corrupt', 'ukrainian', 'congress', 'politician']","['where s the whistleblower where s the second whistleblower where s the informer why did corrupt politician schiff make up my conversation with the ukrainian president why didn t the house do its job and sooo much more', 'shifty schiff now seems to think they don t need the whistleblower who started the whole scam the reason is that the whistleblower has lost all credibility because the story is so far from the facts on the transcript also the second whistleblower is no longer even mentioned', 'the whistleblower must come forward to explain why his account of the phone call with the ukrainian president was so inaccurate fraudulent why did the whistleblower deal with corrupt politician shifty adam schiff and or his committee']",Adam Schiff and the Ukrainian Whistleblower Controversy
54,53_debt_trillion_ceiling_deficit,"['debt', 'trillion', 'ceiling', 'deficit', 'budget', 'national', 'scary', 'obama', 'over', 'deficits']","['america has lost its aaa rating and gained over t in debt under and now he wants to raise the debt ceiling scary', 'inherited trillion in national debt will leave after his first term with the debt at over trillion', 'republicans remember debt ceiling debt ceiling debt ceiling be smart and you will win']",United States National Debt and Debt Ceiling Controversies
55,54_nancy_pelosi_she_impeachment,"['nancy', 'pelosi', 'she', 'impeachment', 'her', 'crazy', 'nervous', 'house', 'senate', 'usmca']","['come on crazy nancy do it', 'i can get nancy pelosi as many votes as she wants in order for her to be speaker of the house she deserves this victory she has earned it but there are those in her party who are trying to take it away she will win', 'why is nancy pelosi getting paid when people who are working are not']",Nancy Pelosi and the Impeachment Process
56,55_stock_market_dow_record,"['stock', 'market', 'dow', 'record', 'high', 'since', 'stocks', 'up', 'jobs', 'time']","['stock market up big today a new record enjoy', 'stock market up big', 'big stock market numbers']",Dow Jones Industrial Average Reaches Record High
57,56_letterman_howard_stern_david,"['letterman', 'howard', 'stern', 'david', 'show', 'fallon', 'tonight', 'night', 'on', 'jimmy']","['getting ready to do the david letterman tonight i hope you all will watch i think', 'i m doing the david letterman show tonight should be interesting', 'i am on david letterman tonight']",David Letterman's Late Night Talk Show Appearances
58,57_enjoy_at_monday_tonight,"['enjoy', 'at', 'monday', 'tonight', 'tune', 'on', 'll', 'be', 'pm', 'am']","['will be on at a m enjoy', 'will be on at enjoy', 'i will be on tonight at enjoy']",Enjoy Monday Night Radio Show
59,58_again_america_make_great,"['again', 'america', 'make', 'great', 'bigleaguetruth', 'souls', 'outsider', 'caucusfortrump', 'plague', 'world']","['make america great again', 'make america great again', 'make america great again']",Make America Great Again (MAGA)
60,59_warming_global_climate_freezing,"['warming', 'global', 'climate', 'freezing', 'cold', 'change', 'coldest', 'weather', 'snow', 'ice']","['for those that constantly say that global warming is now climate change they changed the name the name global warming wasn t working', 'they changed the name global warming to climate change because the concept of global warming just wasn t working', 'they changed the name from global warming to climate change after the term global warming just wasn t working it was too cold']",Climate Change and Global Warming Misconceptions
61,60_tweets_twitter_tweet_followers,"['tweets', 'twitter', 'tweet', 'followers', 'following', 'best', 'love', 'your', 'you', 'person']","['welcome to twitter', 'theahmadhassan sir your tweets are the best tweets really inspiring i love them thank you', 'tweets business']",Twitter Engagement and Followers Interaction
62,61_fed_reserve_rates_inflation,"['fed', 'reserve', 'rates', 'inflation', 'federal', 'interest', 'dollar', 'powell', 'tightening', 'quantitative']","['at my meeting with jay powell this morning i protested fact that our fed rate is set too high relative to the interest rates of other competitor countries in fact our rates should be lower than all others we are the u s too strong a dollar hurting manufacturers amp growth', 'the united states because of the federal reserve is paying a much higher interest rate than other competing countries they can t believe how lucky they are that jay powell amp the fed don t have a clue and now on top of it all the oil hit big interest rate drop stimulus', 'our manufacturers we should have lower interest rates than germany japan and all others we are now by far the biggest and strongest country but the fed puts us at a competitive disadvantage china is not our problem the federal reserve is we will win anyway']",Federal Reserve Interest Rate Policy and Economic Impact
63,62_oscars_seth_emmys_meyers,"['oscars', 'seth', 'emmys', 'meyers', 'ellen', 'show', 'emmy', 'awards', 'talent', 'stewart']","['is this boring or is it just me oscars', 'how do you like seth and oscars so far', 'just terrible oscars']",Award Shows and Hosts Critique
64,63_ratings_her_she_megyn,"['ratings', 'her', 'she', 'megyn', 'show', 'kelly', 'megynkelly', 'me', 'tv', 'cher']","['why does devote so much time on her shows to me almost always negative without me her ratings would tank get a life megyn', 'crazy says i don t won t go on her show and she still gets good ratings but almost all of her shows are negative hits on me', 'if crazy didn t cover me so much on her terrible show her ratings would totally tank she is so average in so many ways']",Megyn Kelly's Television Ratings and Coverage
65,64_economy_economic_best_ever,"['economy', 'economic', 'best', 'ever', 'growth', 'numbers', 'history', 'jobs', 'world', 'companies']","['best usa economy in history', 'our economy is doing great', 'the best economy ever']",The Greatest Economic Boom in US History
66,65_romney_mitt_stevens_choked,"['romney', 'mitt', 'stevens', 'choked', 'stuart', 'graham', 'he', 'failed', 'lindsey', 'blew']","['congratulations to mitt romney he was not only good he was absolutely fantastic tonight', 'donald trump to mitt romney you re fired via', 'mitt romney did great in the debate last night']",Mitt Romney's Political Debates and Performance
67,66_hurricane_local_officials_fema,"['hurricane', 'local', 'officials', 'fema', 'heed', 'safe', 'storm', 'closely', 'state', 'carolina']","['my team and i are closely monitoring extremely dangerous hurricane sally we are fully engaged with state amp local leaders to assist the great people of alabama louisiana and mississippi be ready and listen to state and local leaders', 'i am monitoring hurricane dorian and receiving frequent briefings and updates it is important to heed the directions of your state and local officials this is an extremely dangerous storm please prepare and be safe', 'was just briefed on hurricane delta and spoke with of texas and john bel edwards please heed the directions of your state and local officials we are working with them very closely please be prepared be careful and be safe']",Hurricane Preparedness and Response Coordination
68,67_court_supreme_justices_justice,"['court', 'supreme', 'justices', 'justice', 'judges', 'roberts', 'judge', 'federal', 'united', 'states']","['now up to federal judges and two great new supreme court justices we are in major record territory hope everyone is happy', 'big decision will soon be made on our next justice of the supreme court', 'supreme court']",United States Supreme Court Justices
69,68_comey_james_mccabe_fbi,"['comey', 'james', 'mccabe', 'fbi', 'fired', 'director', 'andrew', 'lied', 'investigation', 'ig']","['slippery james comey the worst fbi director in history was not fired because of the phony russia investigation where by the way there was no collusion except by the dems', 'the only thing james comey ever got right was when he said that president trump was not under investigation', 'why didn t a g sessions replace acting fbi director andrew mccabe a comey friend who was in charge of clinton investigation but got']",James Comey and Andrew McCabe's Tenure and Controversies at the FBI
70,69_afghanistan_taliban_terrorism_terrorists,"['afghanistan', 'taliban', 'terrorism', 'terrorists', 'islamic', 'soldiers', 'pakistan', 'killed', 'karzai', 'we']","['when will we stop wasting our money on rebuilding afghanistan we must rebuild our country first', 'five u s soldiers killed in afghanistan by so called friendly fire what are we doing', 'our gov t is so pathetic that some of the billions being wasted in afghanistan are ending up with terrorists']",Afghanistan Conflict and Terrorism
71,70_ebola_africa_flights_west,"['ebola', 'africa', 'flights', 'west', 'infected', 'obama', 'ban', 'cdc', 'travel', 'patient']","['here we go i stated long ago that we should cancel all flights from west africa now we have ebola in u s and it will only get worse', 'via by trump wants ebola travel ban', 'the bigger problem with ebola is all of the people coming into the u s from west africa who may be infected with the disease stop flights']",Ebola Outbreak and Travel Restrictions in West Africa
72,71_jeb_bush_jebbush_mommy,"['jeb', 'bush', 'jebbush', 'mommy', 'brother', 'his', 'he', 'campaign', 'ad', 'iraq']","['donald trump on jeb bush the last thing we need is another bush via by', 'this is no act of love as jeb bush said', 'not good news for jeb bush']",Jeb Bush's Political Career
73,72_approval_rating_party_rasmussen,"['approval', 'rating', 'party', 'rasmussen', 'republican', 'overall', 'gallup', 'higher', 'thank', 'poll']","['approval rating in the republican party thank you', 'approval rating in the republican party thank you', 'rasmussen approval rating republican party approval rating thank you']",Republican Party Approval Ratings by Rasmussen Reports
74,73_weiner_spitzer_anthony_pervert,"['weiner', 'spitzer', 'anthony', 'pervert', 'eliot', 'sexting', 'wiener', 'danger', 'sexter', 'sick']","['pervert alert sexter anthony weiner will be running for mayor of new york city', 'as hard as it is to believe sexting pervert anthony weiner is leading in some polls for mayor of nyc', 'with spitzer amp anthony weiner running for office new york is pervert central pathetic']",Political Scandals Involving Anthony Weiner and Eliot Spitzer
75,74_lawsuit_case_sue_university,"['lawsuit', 'case', 'sue', 'university', 'fees', 'lawyer', 'lauderdale', 'legal', 'maher', 'against']","['wow tremendous victory in the trump university case against lightweight got the news', 'cnn amp lawyer elizabeth beck did a terrible job against me she lost i even got legal fees i loved beating her she was easy', 'should have settled ft lauderdale plaintiffs must pay me close to k in legal fees after trump trial victory']",Trump University Lawsuit Victory
76,75_rubio_marco_lightweight_senator,"['rubio', 'marco', 'lightweight', 'senator', 'amnesty', 'immigration', 'choker', 'weak', 'cruz', 'illegal']","['marco rubio is totally weak on illegal immigration amp in favor of easy amnesty a lightweight choker bad for usa', 'new ad concerning lightweight senator marco rubio', 'little marco rubio the lightweight no show senator from florida is just another washington politician']",Marco Rubio's Political Criticism and Immigration Stance
77,76_series_champion_win_congratulations,"['series', 'champion', 'win', 'congratulations', 'champions', 'cup', 'game', 'boston', 'stanleycup', 'winning']","['today it was my honor to welcome the world series champion boston to the', 'it was my honor to welcome cup series champion and his team to the yesterday', 'congratulations to the cup series champion']",Championship Victory Celebrations
